Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,word,log_freq,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,responses,type,view_history,trial_category,stimulus,key_press,sensible,critical,Class,practice,order,correct,string,same,version_with_order,item_version,item,source,different_frame,ambiguity_type,response,correct_response,Gender,Native_Speaker,Mobile_Device,Age,B1,B2
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,3764,,html-keyboard-response,35,115038,0.0-13.0-1.0,rj6lax1lhx,rj6lax1lhx,,,,,She had a writer's block.<p>,77,S,yes,N,main,second,,block,FALSE,M1_a_M2_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,968,,html-keyboard-response,124,188858,0.0-58.0-0.0,ycqmo1zt4u,ycqmo1zt4u,,,,,She had a mental block.<p>,77,S,yes,N,main,first,,block,FALSE,M2_a_M1_b,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,776,,html-keyboard-response,125,189637,0.0-58.0-1.0,ycqmo1zt4u,ycqmo1zt4u,,,,,She had a wooden block.<p>,77,S,yes,N,main,second,,block,FALSE,M2_a_M1_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1639,,html-keyboard-response,230,310783,0.0-111.0-0.0,1z9syku1zv,1z9syku1zv,,,,,She had a writer's block.<p>,77,S,yes,N,main,first,,block,FALSE,M2_b_M1_b,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,22,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1442,,html-keyboard-response,231,312226,0.0-111.0-1.0,1z9syku1zv,1z9syku1zv,,,,,She had a wooden block.<p>,88,S,yes,N,main,second,,block,FALSE,M2_b_M1_b,M1_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,22,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1173,,html-keyboard-response,220,502979,0.0-106.0-0.0,kv2mm4prwm,kv2mm4prwm,,,,,She had a writer's block.<p>,77,S,yes,N,main,first,,block,FALSE,M2_b_M1_a,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,596,,html-keyboard-response,221,503575,0.0-106.0-1.0,kv2mm4prwm,kv2mm4prwm,,,,,She had a toy block.<p>,77,S,yes,N,main,second,,block,FALSE,M2_b_M1_a,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,907,,html-keyboard-response,168,360719,0.0-80.0-0.0,6kznqk19g0,6kznqk19g0,,,,,She had a writer's block.<p>,77,S,yes,N,main,first,,block,TRUE,M2_b_M2_a,M2_b,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,741,,html-keyboard-response,169,361462,0.0-80.0-1.0,6kznqk19g0,6kznqk19g0,,,,,She had a mental block.<p>,77,S,yes,N,main,second,,block,TRUE,M2_b_M2_a,M2_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,2726,,html-keyboard-response,64,137721,0.0-28.0-0.0,olmezpljzz,olmezpljzz,,,,,She had a writer's block.<p>,88,S,yes,N,main,first,,block,FALSE,M2_b_M1_a,M2_b,34,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,21,2,Chair
block,0,4.48,1.09,0,27,1,2067,Noun,block,3.315550534,1981,,html-keyboard-response,65,139703,0.0-28.0-1.0,olmezpljzz,olmezpljzz,,,,,She had a toy block.<p>,77,S,yes,N,main,second,,block,FALSE,M2_b_M1_a,M1_a,34,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair
